feature_name,importance_gain,importance_split
ym_rank_B_33_last,3075.406139951944,209.6
ym_rank_D_44_last,2446.070920756459,163.8
ym_rank_P_2_last,2422.5926966561005,89.6
P_2_last,2128.2500110432507,78.6
last3_P_2_min,1990.6833454523235,72.8
last3_P_2_mean,1749.817545760423,50.4
last3_P_2_max,1653.5510566420853,48.6
last6_P_2_min,1598.5995575398206,51.0
ym_rank_D_44_min,1559.4085706681012,108.4
ym_rank_B_8_max,1547.9444454804063,89.8
last3_P_2_sum,1511.2536363247782,57.0
ym_rank_S_6_min,1424.2368102043868,52.0
last6_P_2_mean,1351.018276100792,58.0
last3_B_9_mean,1329.23063634336,35.0
last6_P_2_max,1277.7554563518613,53.4
ym_rank_D_133_min,1277.341955792904,55.6
ym_rank_D_51_last,1264.1744808852673,77.8
ym_rank_D_133_last,1244.637023100257,55.0
ym_rank_S_6_last,1147.2832926511765,36.8
B_9_last,1115.580966259539,36.0
ym_rank_B_22_last,1030.5674139857292,55.4
B_2_last,1025.8612537622453,60.8
ym_rank_D_92_last,956.5526495272294,69.4
ym_rank_S_18_max,949.8569072157145,55.0
ym_rank_D_41_last,941.94008705616,70.0
diff_B_3_mean,941.7279096186161,58.0
last3_R_1_mean,914.4003649532794,35.0
ym_rank_D_51_max,890.3726985454559,86.0
ym_rank_R_23_sum,876.3752409428358,36.8
ym_rank_D_92_max,873.2047045350075,61.4
last6_R_1_mean,853.1884399592876,28.4
P_2_mean,841.2290173187852,41.6
ym_rank_R_18_last,830.0203370094299,53.4
last6_R_1_sum,811.1831825256347,27.8
last3_B_9_max,785.5141976237297,24.0
P_2_min,777.1810736902058,45.0
last3_R_1_max,767.9313593864441,23.6
ym_rank_B_9_last,761.0770149670541,28.8
ym_rank_B_20_min,759.5102306485176,32.0
last3_B_9_min,745.4059615090489,21.8
ym_rank_D_86_sum,738.7730339884758,27.2
D_48_last,721.8229750636965,51.2
last3_D_48_mean,715.9037110105157,49.0
ym_rank_B_26_last,699.1384697295725,42.8
ym_rank_R_28_max,691.0737025856972,52.0
ym_rank_D_44_mean,682.0541164577007,69.0
ym_rank_R_23_min,677.2386748552323,47.0
ym_rank_S_9_min,665.9675629973411,61.4
ym_rank_D_51_min,662.0441921949387,36.6
ym_rank_D_129_min,661.3593510270118,80.8
last6_R_1_std,648.7841652274132,48.4
last6_B_2_min,638.2532469257712,64.4
last3_D_48_max,635.2856734618545,59.6
last3_B_9_sum,631.6088718920946,22.0
ym_rank_D_41_min,620.6428101778031,42.2
R_1_std,615.0075136840344,41.8
ym_rank_B_5_min,608.5266396300867,56.2
ym_rank_D_127_max,603.7285658538342,31.0
ym_rank_P_2_mean,603.634167137742,31.0
ym_rank_D_70_last,603.3359490811824,59.2
ym_rank_S_18_last,588.6846076250076,38.0
last3_B_2_min,576.6935256868601,54.4
ym_rank_B_2_last,575.9718294805382,54.4
ym_rank_B_3_last,573.8361242591403,88.4
last3_R_1_sum,568.1542921364307,19.2
R_1_max,543.6515804111957,33.4
ym_rank_B_19_last,529.5416525427252,30.0
last6_P_2_sum,526.3525982931257,28.2
ym_rank_P_2_min,525.704234406352,36.6
ym_rank_D_43_last,515.7048839334399,114.6
R_1_mean,515.571317267418,23.2
ym_rank_B_8_mean,505.67746920287607,51.8
ym_rank_P_2_max,504.28673852980137,30.6
ym_rank_R_19_min,491.02283165454867,36.4
ym_rank_D_129_last,485.7896977543831,63.4
ym_rank_D_74_last,474.4861538410187,42.8
ym_rank_D_70_min,472.8949401721358,23.8
last6_R_1_max,469.72900657951834,25.2
last3_D_43_max,467.07920795530083,90.2
last3_D_44_mean,463.0720498308539,16.2
ym_rank_B_36_sum,459.12120299339296,22.2
ym_rank_D_78_last,456.96084565685595,39.4
ym_rank_D_84_last,456.51085207462313,28.0
ym_rank_S_8_min,450.1170985877514,41.8
ym_rank_R_1_max,447.1664371222258,38.8
last6_B_9_max,444.62156450748444,25.0
D_44_last,439.3896045446396,12.8
ym_rank_B_8_min,428.3054208159447,24.6
diff_B_3_sum,427.26113593280314,42.2
ym_rank_D_91_last,426.87345815300944,45.4
ym_rank_P_4_min,422.156340777874,21.2
ym_rank_D_48_last,411.6199985650368,47.2
ym_rank_B_8_sum,408.5691971451044,38.0
ym_rank_R_19_last,407.1868677139282,30.8
last3_D_61_max,400.08700799942017,47.8
ym_rank_D_83_sum,400.04074026942254,25.2
ym_rank_R_1_min,399.93626725673676,43.0
D_43_mean,397.66582948714495,88.6
diff_R_1_std,391.81524825766684,27.4
last6_D_61_max,391.8095008522272,53.2
R_1_sum,386.2850590750575,22.0
ym_rank_D_127_min,385.36919287443163,37.0
last3_D_48_min,382.22000497840344,31.0
last6_D_43_min,376.5035893060267,83.2
ym_rank_R_10_last,375.6374594330788,23.4
ym_rank_R_1_mean,375.17708654999734,39.2
last6_D_48_mean,372.21842150986197,32.4
ym_rank_R_27_mean,371.7707008689642,48.8
last3_D_44_max,370.0813957126811,12.2
last6_D_43_mean,367.5898091241717,81.8
ym_rank_D_71_max,365.8354580283165,24.4
ym_rank_S_20_sum,352.2493771314621,19.2
ym_rank_D_129_mean,347.8706714048982,51.0
ym_rank_D_139_min,345.9491900920868,27.8
ym_rank_R_27_last,341.5655834823847,37.6
ym_rank_B_32_max,338.465596434474,18.6
ym_rank_R_12_sum,338.3028729915619,27.4
ym_rank_B_8_std,337.8553318411112,38.0
B_9_max,336.57844450473783,24.2
ym_rank_B_10_last,334.75495147051987,70.2
ym_rank_R_21_sum,333.57715797424316,19.6
ym_rank_P_4_max,332.4928023338318,18.2
ym_rank_S_17_last,332.4179406285286,27.6
last3_D_44_sum,332.1860715210438,10.8
ym_rank_R_27_max,327.3876338787377,29.6
diff_R_3_std,325.9253381699324,71.2
ym_rank_D_43_max,325.86411018073557,79.4
B_11_last,321.1257218450308,30.6
ym_rank_R_10_sum,317.78644186258316,28.6
D_43_last,314.4728307824116,70.0
ym_rank_D_113_last,309.29577733278273,52.8
last3_D_43_mean,308.1104843840003,64.4
ym_rank_S_17_sum,307.62767182514074,22.4
P_2_sum,305.1219366848469,23.2
last6_B_9_mean,305.05058858692644,19.2
last3_D_48_sum,301.7351749420166,20.2
diff_D_62_max,298.40677169635893,83.4
ym_rank_S_17_mean,294.4709166765213,25.2
B_38_last,290.04435151815414,33.0
ym_rank_B_26_min,289.9110369741917,20.4
last3_D_43_min,287.3391283892095,71.8
last6_D_44_max,284.676613253355,9.4
last6_D_39_max,283.26256774943323,39.2
ym_rank_D_113_min,282.50261944532394,48.8
ym_rank_B_2_min,278.6531523436308,37.6
ym_rank_D_69_sum,277.68570218086245,21.0
last6_D_48_max,277.2457322182134,37.6
rank_D_59_last,276.06787917241456,70.8
ym_rank_D_96_sum,275.0314361784607,19.2
diff_D_43_std,273.76707858070733,81.2
P_2_max,272.6199114665389,38.8
ym_rank_D_143_min,270.2981500208378,23.8
ym_rank_S_15_max,269.99493943671695,60.8
ym_rank_R_19_sum,267.0113106518984,18.6
ym_rank_D_127_sum,266.9285824056715,23.2
ym_rank_D_78_min,265.80315150022506,25.8
last6_S_23_std,265.7291568338871,31.6
ym_rank_B_37_last,264.70941301882266,31.8
last6_D_48_min,264.39684604257343,32.0
ym_rank_S_26_mean,263.89034224450586,59.0
rank_D_48_last,262.774075191468,80.2
D_39_max,260.63032808601855,39.8
diff_D_105_std,259.31764376387,74.8
diff_P_2_mean,258.45894829332826,58.4
ym_rank_B_11_last,257.6500265181065,29.0
ym_rank_R_1_last,257.58952451348307,38.4
ym_rank_D_46_std,255.79977227523923,92.4
ym_rank_B_21_min,253.50798256397246,27.2
ym_rank_D_43_mean,249.53381738066673,57.2
ym_rank_P_4_mean,249.12210183739663,16.8
diff_D_61_max,249.07778323562815,84.2
ym_rank_B_9_max,248.7771649464965,52.4
rank_D_61_last,248.57887383922935,83.6
diff_D_59_min,247.67222245819866,50.2
B_1_last,246.93611730784178,29.4
ym_rank_R_1_std,245.28457663916052,41.0
last3_B_3_std,244.7500506669283,58.4
last3_B_2_mean,244.53520732368344,34.8
last3_diff_D_48_mean,241.99555535288528,76.4
B_2_min,238.3093759536743,33.4
ym_rank_R_23_mean,237.62206208705902,25.2
ym_rank_D_80_last,236.31781864762306,16.8
diff_D_44_mean,235.77002714127303,23.2
ym_rank_D_129_max,234.671520370245,41.8
diff_B_4_mean,232.69146002307534,45.6
last3_D_43_sum,232.19519308805465,41.8
ym_rank_D_113_mean,230.08828337043525,52.4
diff_B_3_max,229.3140580970794,40.8
D_61_last,228.7052382275462,36.2
ym_rank_B_4_last,227.45187333598733,41.6
last6_S_11_mean,226.8567384529859,55.0
ym_rank_B_3_max,225.09690086245536,57.0
ym_rank_D_62_min,224.53361372686922,68.2
ym_rank_B_1_last,223.54765794575215,27.4
diff_D_121_std,220.56787662729622,69.2
last6_D_43_max,220.07346064504236,55.8
ym_rank_D_41_sum,219.37801716402174,29.8
last6_D_59_mean,219.11108187921346,51.0
last6_P_3_max,218.11984558477997,65.0
ym_rank_D_125_max,217.69382956027985,33.2
ym_rank_B_15_sum,217.2669743090868,18.0
P_3_last,216.6753044188954,55.2
ym_rank_D_79_max,213.55848021507262,21.2
diff_R_1_max,213.54989780187606,36.4
last3_D_39_max,212.30466381311416,39.6
ym_rank_D_112_last,212.0711525440216,41.8
last6_D_43_sum,212.04354774057865,44.6
diff_B_23_mean,211.90255562905222,37.4
diff_B_4_std,211.45402171909808,69.2
ym_rank_S_17_max,211.01827433109284,14.2
D_59_max,210.24047764092683,51.0
D_48_mean,209.56036711223425,22.8
D_59_last,208.9999185346067,45.2
diff_D_52_std,208.98054080009462,67.0
diff_D_41_max,208.4912289261818,22.0
last3_diff_D_48_max,207.73964130952953,62.0
ym_rank_B_7_last,207.4012998968363,47.0
S_11_std,206.4659722715616,57.8
D_43_max,206.402316044271,51.8
ym_rank_D_61_last,206.23127709515393,39.0
diff_D_55_sum,205.60310010305838,32.6
last6_D_61_mean,204.6241014744155,53.4
last6_D_39_std,204.0753487110138,40.6
diff_D_48_mean,203.37034583035856,55.2
last6_D_62_max,203.34105169698597,64.6
ym_rank_D_44_sum,201.23149936795235,21.2
ym_rank_D_61_max,200.22533354759216,41.4
diff_D_43_min,200.13638190440832,51.0
R_3_max,200.11254697442055,33.2
D_43_min,199.20800933502613,58.2
last3_P_3_min,198.1736812438816,51.4
D_48_std,197.3216222397983,72.8
last6_S_25_std,197.28217087835074,38.2
ym_rank_D_124_min,196.51100848522037,70.6
rank_B_37_last,196.16294719800354,49.2
D_62_std,195.33850069791077,65.4
diff_D_59_mean,194.73780901432036,42.4
diff_D_62_std,192.94462081044912,70.6
diff_P_2_sum,192.3675219282508,44.4
last3_D_77_mean,191.8879911400145,64.0
rank_D_43_last,190.533151536528,79.4
D_43_std,190.39821277707816,47.4
last3_D_59_max,188.6031017553061,45.8
ym_rank_R_2_sum,188.32869279384613,32.0
last3_D_62_min,187.80768633037806,68.4
ym_rank_R_3_mean,187.6755073517561,40.8
P_3_mean,186.95438022315503,39.8
ym_rank_D_62_mean,186.1508869607933,56.2
rank_B_1_last,185.92795216590167,49.2
R_3_mean,184.96850795671344,34.4
last6_P_2_std,184.83652915716593,62.0
B_40_max,184.54044846743346,55.8
D_42_mean,184.5065945982933,24.0
rank_D_50_last,182.6858786173165,51.0
ym_rank_B_40_max,181.85961243510246,56.0
ym_rank_P_3_mean,181.41529417484998,46.8
ym_rank_P_3_last,180.91873221993447,44.2
diff_P_3_min,180.70228623896838,57.8
D_62_last,179.75475587785476,58.6
last6_S_11_sum,178.97873992584647,41.8
B_40_mean,178.63568719625474,49.0
ym_rank_S_26_last,177.05478880852462,23.6
diff_D_71_std,176.48920563086867,60.8
diff_B_1_mean,175.84636326655746,33.2
ym_rank_R_3_max,175.597106461972,39.2
ym_rank_D_144_min,175.5173864364624,26.6
P_2_std,175.17980014272035,59.0
S_11_mean,174.49931277483702,47.6
ym_rank_R_1_sum,174.30471230596305,28.0
diff_S_25_min,173.95152376294135,46.8
ym_rank_D_61_mean,173.63357680141925,45.0
last6_D_62_std,173.24803340137004,61.6
last3_D_59_mean,169.77466403022407,51.4
last3_D_46_min,169.62738215355202,52.8
diff_D_55_mean,169.62319344580175,48.6
last3_D_44_min,168.85397244095802,9.6
diff_S_3_std,168.772876014933,49.2
ym_rank_D_133_max,168.0370662689209,16.4
last3_diff_D_46_min,167.49382439106702,66.2
B_23_last,167.42249686270952,25.4
ym_rank_R_10_min,166.64773938655853,16.6
diff_D_43_max,166.37438550293444,49.6
D_59_mean,165.83139254897833,45.4
rank_D_41_last,165.58705318570136,20.2
diff_S_25_std,165.030169082433,38.0
D_46_last,164.5658553916961,63.0
last3_D_43_std,164.45749147199095,45.6
diff_D_60_sum,164.40939649492503,45.4
S_25_mean,164.37398641258477,29.0
diff_D_62_mean,164.33470888733865,52.4
rank_B_18_last,164.26555022476242,55.6
last3_D_61_mean,164.24672487974166,37.4
ym_rank_D_77_last,164.1942167821573,54.4
B_7_last,163.92654928155244,26.4
D_77_min,163.86186535283923,50.0
D_62_min,163.78431678060443,48.0
D_115_std,163.63650364279746,58.2
rank_D_124_last,163.25133230388164,54.6
last3_diff_D_48_sum,162.56310738623142,49.0
ym_rank_R_15_sum,162.3591337800026,11.8
D_121_std,161.57642318606378,54.0
diff_D_43_mean,161.05094647854565,60.0
diff_S_3_mean,160.4647137131542,56.0
rank_D_60_last,159.8872286736965,54.0
D_43_sum,159.60694959368556,43.0
R_3_std,159.4834098495543,41.8
D_39_std,159.2680283073336,36.4
ym_rank_D_124_last,158.39090504050256,60.8
