feature_name,importance_gain,importance_split
P_2,567473.6710530618,5885.0
B_9,95934.18257728501,3670.6
D_48,95357.5469830909,5025.6
D_43,52397.175024581185,7834.0
S_3,45740.898310377845,5843.0
D_50,40321.10263112667,5192.4
D_47,38019.58609692135,9260.0
D_42,37952.71363902798,4132.6
D_45,34864.997370069344,6199.0
D_44,33319.036025566966,1872.0
D_52,31188.55729353953,6893.0
D_121,30862.46559768715,8325.6
B_3,29785.810422692215,3186.8
D_124,26117.137933178146,7495.2
D_61,24967.182011904246,5260.4
D_41,21330.170980949933,1962.2
B_4,21261.581843112108,3929.2
D_115,21164.75136868997,6451.0
D_46,20698.350180660178,5138.6
D_56,19504.347971069034,4693.4
R_3,18641.929398146072,2169.6
D_105,18485.386400537995,5839.6
D_75,17640.51027395993,1475.2
S_7,17443.925786547807,4530.4
D_59,17133.158549489406,5911.4
D_55,16547.672402000324,4996.6
D_132,16476.439691617714,2218.8
D_53,15367.20674319315,3248.4
P_3,15148.934095574074,4094.8
D_118,14511.099250367475,4544.2
R_26,14114.979436209052,1795.6
B_1,14024.046953358291,1662.4
R_27,13896.699287625077,1800.0
D_62,13781.744047971273,3262.2
R_1,13387.195232788077,680.2
D_119,13297.939391865448,4398.6
B_7,12902.589867776896,2036.6
D_77,12558.07408554929,3597.2
B_11,11148.622402061746,1577.0
B_23,10723.583804486716,1804.8
B_19,10311.719352872558,2127.8
D_122,10112.49401193812,2841.6
B_14,9380.356183871338,2066.2
B_40,8775.976973042754,2730.2
D_102,8689.793826700106,3031.2
D_60,8471.116268604655,2990.8
B_5,8102.000101932586,1266.2
D_142,8039.6325207983145,2406.2
D_49,8034.322963565309,1887.8
D_117,7936.7063420782015,2503.2
D_107,7827.088965938933,1967.0
B_37,7777.444310161651,1377.2
B_25,7759.365593731823,2309.2
B_28,7683.957193138992,2356.0
S_5,7515.649681723682,2064.2
B_17,7513.330950612642,2306.6
B_12,7496.959748602729,1817.2
B_18,7286.617152801575,1397.6
D_64,7237.184252096375,1387.4
B_2,6999.75579396924,1166.2
D_58,6908.84860958734,2177.0
S_9,6726.849694369729,2038.0
B_38,6324.502095421415,1057.8
B_20,6280.076326190299,1134.0
S_22,6273.6944678930795,1807.2
S_11,6259.770911053519,2047.6
B_16,6122.274165293132,1577.8
D_68,6120.035217804043,1688.4
S_23,5874.787645125854,640.4
D_74,5738.524030361918,1443.6
S_15,5534.575744680338,1156.2
S_27,5402.99540135602,2549.4
D_106,5230.473049663141,1453.8
S_24,4993.288401855714,1662.4
D_113,4777.394511148345,1507.0
B_13,4725.379999462003,2073.6
D_112,4459.335152793117,533.0
D_141,4252.220880774141,1226.0
R_9,4032.820358684659,834.2
D_71,4016.156856373401,1565.2
S_25,3507.8450639162447,637.2
D_39,3472.5812838602274,894.4
S_8,3435.853948370088,965.6
D_104,3431.4252964757093,1187.6
D_133,3337.2246120525524,846.4
D_69,3328.1209350044955,721.8
D_130,3312.485711808503,684.8
B_6,3220.81888082261,1419.2
B_15,3044.838620817917,733.0
D_128,2857.5279342391295,607.8
B_8,2814.972941273451,326.4
D_114,2712.7550592690704,575.4
R_12,2504.3366571040824,346.6
B_10,2421.1653546483126,1047.8
D_145,2345.7224994186313,834.4
D_144,2287.195273800485,553.2
D_70,2188.8454423761928,655.0
D_126,2124.138370661391,699.2
D_76,2089.2234142321163,491.0
D_80,2072.498648257507,812.8
D_51,2069.524381909892,267.8
S_26,1960.562009223239,647.6
D_120,1628.4398721407983,459.0
D_82,1524.6914066059514,487.2
D_129,1501.1091841109096,265.0
D_134,1477.7140642894433,385.0
D_79,1381.4170565936715,210.6
D_63,1297.371853250265,401.0
D_66,1271.2118267789483,278.4
D_72,1155.4071796765552,268.0
S_13,1133.3422222070137,454.8
B_24,962.8661019533872,194.8
S_12,956.1140414366898,693.0
D_103,886.9079832190648,202.2
D_91,848.0371101764962,249.0
D_84,845.9882585510611,129.4
B_29,838.7374474570155,212.0
D_139,760.0899361528457,188.0
D_131,715.8158292286098,172.0
R_2,606.3707793325186,33.0
P_4,565.1942941680551,190.0
D_136,550.22707375139,139.0
D_140,413.4563719265163,152.0
R_11,406.4895343804965,197.6
S_17,392.41854153890165,189.8
R_6,335.6371617287397,34.2
D_83,288.6059641778469,106.4
B_22,282.60734674222766,45.6
D_135,279.18027741611,63.2
D_78,270.66007048152386,136.2
D_138,185.14762265384198,57.8
D_81,168.85662287920712,62.6
S_6,162.5728553391993,66.0
B_21,154.3430024087429,59.2
D_125,151.6488415170461,69.0
S_18,141.67288592234254,51.4
D_137,135.48626747354865,23.8
D_143,131.06515212208032,36.6
R_16,120.09909678101539,65.8
D_127,115.34279141351581,72.4
B_33,105.32092818021775,11.6
B_30,99.0560943722725,25.0
B_26,97.04756477326154,37.8
D_123,80.41882361099124,53.0
D_54,72.09180531352759,27.0
R_21,66.36020760983229,23.6
B_32,65.56388584375381,31.4
S_16,61.6834428280592,19.0
D_65,47.84369494840503,28.2
B_41,41.97371919453144,18.4
R_10,18.923793472349644,8.6
D_73,14.76014044880867,10.0
R_5,8.802933324873447,2.0
B_39,7.059095418453216,3.4
B_36,4.688199234008789,3.0
R_19,4.617673581838607,2.6
R_20,3.3584756046533584,2.2
D_111,3.3013885974884034,1.4
D_96,2.932476222515106,1.0
D_110,2.8434619903564453,1.0
D_92,2.718918204307556,1.6
D_86,1.8853724002838135,1.4
D_89,1.127824991941452,1.2
S_20,0.7547579765319824,0.2
R_14,0.24679499864578247,0.4
R_15,0.22441860437393188,0.4
R_4,0.2034759998321533,0.2
R_7,0.15075860023498536,0.2
D_88,0.0,0.0
B_42,0.0,0.0
B_31,0.0,0.0
D_93,0.0,0.0
D_94,0.0,0.0
D_108,0.0,0.0
R_13,0.0,0.0
R_28,0.0,0.0
R_17,0.0,0.0
B_27,0.0,0.0
R_18,0.0,0.0
D_109,0.0,0.0
R_22,0.0,0.0
D_116,0.0,0.0
R_23,0.0,0.0
R_24,0.0,0.0
R_8,0.0,0.0
R_25,0.0,0.0
D_87,0.0,0.0
S_19,0.0,0.0
